,track,artist,track_id,release_date,dance,energy,loud,speech,acoust,live,valence,tempo,sim_score
0,Forever After All,Luke Combs,6IBcOGPsniK3Pso1wHIhew,2020-10-23,0.487,0.65,-5.195,0.0253,0.191,0.0933,0.456,151.964,
1,The Good Ones,Gabby Barrett,3hLuHKzG1cmlRpq53ZVWd8,2020-06-19,0.519,0.552,-5.023,0.0259,0.18,0.149,0.331,89.957,
2,Made For You,Jake Owen,7vF3xkCMvZjAe2nTWY0uQZ,2019-03-29,0.581,0.441,-6.829,0.0268,0.77,0.111,0.337,82.125,
3,Hell Of A View,Eric Church,1kBx9VGumfuvlfqdlAGorE,2020-10-02,0.689,0.582,-6.778,0.0236,0.119,0.101,0.883,99.021,
4,Breaking Up Was Easy In The 90's,Sam Hunt,4sf2L157iEgAR7yrCNLgSq,2020-04-03,0.562,0.649,-5.4,0.0494,0.231,0.341,0.376,145.913,
5,Singles You Up - Ryan Riback Remix,Jordan Davis,3clfDJ1mvmbSTg9jw40wan,2018-08-30,0.644,0.817,-6.118,0.0421,0.00363,0.193,0.656,115.94,-1.2036361266101214
6,Burn 'Em All,Kameron Marlowe,2UBvtKeetnXn6lMnsBUrZz,2020-06-26,0.632,0.886,-3.986,0.054,0.115,0.136,0.637,114.951,-1.2251488497624274
7,Polaroid,Keith Urban,2vCEEjiWtVjFEmuCsggbAY,2020-09-18,0.8,0.72,-5.821,0.0436,0.609,0.118,0.839,117.029,-2.2799014746784563
8,Cold,Chris Stapleton,24nhOvYX2gk3txBbMzXeUB,2020-11-13,0.555,0.505,-7.334,0.0333,0.0519,0.148,0.293,117.481,-2.9869639305616715
9,I Don't Miss You,Jake Scott,0FklQYAhXxPHnVtGVIjxTk,2018-03-30,0.721,0.358,-9.909,0.0626,0.0694,0.115,0.167,109.916,-4.6384592260294815
10,Someone I Used To Know,Zac Brown Band,2GHJ7SJUd1KunqhFyI7vFf,2019-09-20,0.621,0.746,-5.69,0.03,0.000927,0.102,0.334,107.953,-4.857371157791391
11,Live Forever,Kane Brown,0y2Zvt89QMAZ9gEYvB5hpO,2019-11-01,0.709,0.392,-8.186,0.0271,0.687,0.112,0.347,106.992,-6.2109841667833035
12,"Honey, I'm Good.",Andy Grammer,4MflGTO2ZTcSQ12bWcyRgI,2014-08-05,0.752,0.775,-7.289,0.0546,0.0324,0.351,0.595,122.014,-7.355647666315123
13,Ends of the Earth,Kenny Chesney,54lLPKdSIrq8JZMfPC8SZs,2018-07-27,0.636,0.445,-10.518,0.0323,0.091,0.0729,0.38,120.907,-7.513781061056294
14,Canadian Summer,Dean Brody,27Iw98HmmdY56bFQBxZW50,2020-11-18,0.516,0.893,-2.957,0.0451,0.0574,0.12,0.744,122.005,-7.715696982662788
15,hole in the bottle (with Shania Twain),Kelsea Ballerini,2bV4NwncWMnVvcWyU2yxwB,2020-11-13,0.598,0.839,-4.605,0.111,0.106,0.372,0.783,105.084,-7.814191039658645
16,Waste Of A Whiskey Drink,Gary Allan,7wruXOjVoOBFjqzCb8dz33,2020-07-31,0.667,0.657,-4.804,0.0324,0.021,0.18,0.607,104.923,-7.940063451877727
17,She's Mine,Kip Moore,6NCbMyR7A8MjbX0UhaEgbd,2020-05-29,0.621,0.858,-5.864,0.0353,7.2e-05,0.116,0.608,123.004,-8.21838951433392
18,Long Way Home,Brynn Cartelli,2Tbutgxuql07ICgVFwkQCd,2021-03-19,0.612,0.658,-6.551,0.265,0.37,0.0687,0.858,104.361,-8.473144766633677
19,Wave on Wave,Pat Green,7rS87NoPWbAkVURdVFbGH9,2003-01-01,0.671,0.755,-5.274,0.0252,0.178,0.0675,0.362,103.552,-9.26375808530177
20,Am I Right or Amarillo,Jack Ingram,1oZEknPBDGQ1gHbHBevJ4P,2021-05-07,0.565,0.304,-9.614,0.033,0.868,0.202,0.462,123.372,-9.310441953844661
21,Power,Kevin Gates,6yKkkGw25k29PmdRPHO5vl,2020-11-19,0.46,0.622,-6.884,0.112,0.136,0.13,0.294,124.672,-9.929221835226883
22,It's You,Maggie Rose,4UZ2ceQ4s7consf368aCkV,2018-09-21,0.579,0.445,-6.99,0.0355,0.523,0.12,0.127,125.027,-10.297684407594259
