,track,artist,track_id,release_date,dance,energy,loud,speech,acoust,live,valence,tempo,sim_score
0,Leave The Door Open,Bruno Mars,7MAibcTli4IisCtbHKrGMh,2021-03-05,0.586,0.616,-7.964,0.0324,0.182,0.0927,0.719,148.088,
1,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,4iJyoBOLtHqaGxP12qzhQI,2021-03-19,0.677,0.696,-6.181,0.119,0.321,0.42,0.464,90.03,
2,RAPSTAR,Polo G,43PGPuHIlVOc04jrZVh9L6,2021-04-09,0.789,0.536,-6.862,0.242,0.41,0.129,0.437,81.039,
3,Astronaut In The Ocean,Masked Wolf,3Ofmpyhv5UAQ70mENzB277,2021-01-06,0.778,0.695,-6.865,0.0913,0.175,0.15,0.472,149.996,
4,Up,Cardi B,1XXimziG1uhM0eDNCZCrUl,2021-02-05,0.868,0.795,-6.044,0.269,0.0012,0.0461,0.819,166.0,
5,Work Bitch,Britney Spears,3KliPMvk1EvFZu9cvkj8p1,2013-11-30,0.629,0.824,-6.53,0.159,0.155,0.0651,0.852,128.01,-0.07113729502838795
6,24 (feat. Lil Baby),Money Man,7v96VvFLS0wSYT8kewNLRy,2020-08-14,0.868,0.638,-7.746,0.0736,0.146,0.0931,0.459,126.03,-0.40619380485016077
7,The Thrill,Wiz Khalifa,4wqzOaLxiCRy2Et8tRyNSX,2020-11-11,0.817,0.775,-4.767,0.108,0.277,0.108,0.806,126.984,-1.0356129216527967
8,Fergalicious,Fergie,1D066zixBwqFYqBhKgdPzp,2006-01-01,0.906,0.584,-7.72,0.316,0.0576,0.128,0.831,129.055,-1.264270672600491
9,Enemy,Tommee Profitt,5X3T8jHNIJSXviiDmiBdz0,2019-08-23,0.581,0.803,-4.935,0.152,0.343,0.0939,0.0686,124.992,-1.8107112425156244
10,Amnesia (feat. GASHI),Loud Luxury,1xvh5ujI8fogjmadcLmLBZ,2021-03-04,0.745,0.839,-6.654,0.0489,0.0454,0.0882,0.226,124.021,-2.045829166056843
11,What You Need,Don Toliver,6LcX2hBbXaJcK4AuefE936,2021-05-04,0.664,0.655,-7.327,0.0461,0.059,0.17,0.13,129.987,-2.0467300485602045
12,Beautiful Girls,Sean Kingston,1hGy2eLcmC8eKx7qr1tOqx,2007-07-23,0.762,0.661,-6.075,0.0687,0.15,0.256,0.769,130.009,-2.0703432740974668
13,Japanese Denim,Daniel Caesar,1boXOL0ua7N2iCOUVI1p9F,2016-10-21,0.707,0.238,-8.818,0.0379,0.0905,0.0842,0.345,124.156,-2.561111650988136
14,Lifestyle (feat. Adam Levine),Jason Derulo,0osvOdeD3YXZiWkT8MKolJ,2021-01-21,0.749,0.674,-5.128,0.0366,0.0209,0.169,0.711,123.055,-3.314350071192938
15,1991,Azealia Banks,0UTmS76yJwuCpiKEn16uN5,2012-05-28,0.853,0.686,-8.314,0.268,0.0424,0.0866,0.538,122.97,-3.3471894808944134
16,Sway With Me (with GALXARA),Saweetie,5gqLY5H1ZyT3BScVr0nDMs,2020-01-31,0.621,0.849,-4.243,0.0489,0.00468,0.328,0.875,130.979,-3.717704094663101
17,Daisy,Ashnikko,0AUvWawuP0ibk4SQ3sIZjk,2020-07-09,0.834,0.663,-6.143,0.133,0.235,0.372,0.774,121.876,-4.20268025606055
18,You Got It,Vedo,4lsHZ92XCFOQfzJFBTluk8,2020-03-27,0.762,0.433,-8.937,0.187,0.143,0.118,0.394,122.074,-4.413600296180112
19,Head & Heart (feat. MNEK),Joel Corry,6cx06DFPPHchuUAcTxznu9,2020-07-03,0.734,0.874,-3.158,0.0662,0.168,0.0489,0.905,122.953,-4.471694453530848
20,Really Love (feat. Craig David & Digital Farm Animals),KSI,50v2TSRV31bwpAPkjWejNL,2020-10-23,0.757,0.813,-4.661,0.0438,0.0459,0.0741,0.668,121.034,-5.36721950766593
21,Lose,NIKI,5vPO5ouEv8iedKWxzmSv7b,2020-09-10,0.41,0.316,-8.13,0.029,0.846,0.124,0.22,133.288,-5.460934579981554
22,damn!,Jeris Johnson,4JuYtPKJJk0HobzktzN4Qg,2020-09-30,0.754,0.591,-7.341,0.0414,0.219,0.209,0.859,119.96,-6.09935857770267
23,Die For You (feat. Dominic Fike),Justin Bieber,7aely3H8kMj9o0gt6vXHE1,2021-03-19,0.728,0.629,-6.629,0.0318,0.00196,0.0847,0.71,135.031,-7.007231221689462
