Verse 1,Pre-Chorus,Chorus,Verse 2,Guitar Solo,Outro,Bridge,Verse 3,Verse 4,Intro,Post-Chorus,Instrumental Break / Guitar Solo,Chorus 2,Verse,Pre-Chorus 1,Pre-Chorus 2,Refrain,Chorus 1,Instrumental Bridge,Breakdown,Instrumental Break,Instrumental,Drop,Verse 5,Hook,Interlude,Pre Chorus,Guitar solo,Verse 6,Pre-Hook,intro,verse 1,bridge,outro,Break,Vers 1,Part I,Part II,Part IV,Reprise,Piano Solo,Solo,Chorus 3,Instrumental Verse,Dialogue,Bridge cont,Post Chorus,Gospel Choir Vocals,Add,Will Anderson,Gospel Choir Vocals w/ Will,Will Anderson - Solo,Chrous,Post-Bridge,Extended Chorus,Brdge,Chorus] x,Chorus 3 + Outro,Chrorus,Bridge 1,Bridge 2,Bridge 3,Verse 7,"Click here to read Tori's account of the making of ""Hollow""","Pre-Hook, with variation",Hook 1,Hook 2,Interloped with Chorus,Produced by Mark Endert,Vese 3,Alternate Chorus,"?] my, oh, m",?] my min,Repeat Chorus,VERSE 1,BRIDGE,VERSE 2,E.S.G.,Final Chorus,?] em frente eu canetalh,?] pop toda,Spoken,Versed 1,Verse 1 - Cody Johnson,Verse 2 - Willie Nelson,Chorus Cody Johnson &  Willie Nelson,Chorus 4,Guitar Solo + Banjo Solo,Verse One,Hook x2,Verse Two
"[""A cold beer's got twelve ounces"", ""A good truck's got maybe three hundred thousand"", ""You only get so much until it's gone"", 'Duracells in a Maglite', 'A needle drop on a forty-five', 'Are the kinda things that only last so long', '']","[""When the new wears off, and they get to gettin' old"", ""Sooner or later, time's gonna take its toll"", '', ""'Cause the new wears off and they get to gettin' old"", ""Yeah, sooner or later, time's gonna take its toll"", '']","['They say nothing lasts forever', ""But they ain't seen us together"", 'Or the way the moonlight dances in your eyes', 'Just a T-shirt in the kitchen', 'With no make-up and a million', 'Other things that I could look at my whole life', 'A love like that makes a man have second thoughts', 'Maybe some things last forever after all', '', 'They say nothing lasts forever', ""But they ain't seen us together"", 'Or the way the moonlight dances in your eyes', 'Just a T-shirt in the kitchen', 'With no make-up and a million', 'Other things that I could look at my whole life', 'A love like that makes a man have second thoughts', 'Maybe some things last forever after all', '', 'They say nothing lasts forever', ""But they ain't seen us together"", 'Or the way the moonlight dances in your eyes', ""And I know there'll be that moment"", 'The good Lord calls one of us home and', ""One won't have the other by their side"", ""But Heaven knows it, that won't last too long"", 'Maybe some things last forever after all']","['The FM station on the outskirts', 'Blue jeans after years of shift work', ""All fadin' out like I always knew they would"", 'The strings on this guitar', 'The first love lost on a young heart', ""Those things are gonna break after the getting's good""]",[''],['After all'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[""He's a phone call to his parents"", ""He's a Bible by the bed"", ""He's the T-shirt that I'm wearing"", ""He's the song stuck in my head"", ""He's solid and he's steady"", 'Like the Allegheny runs', ""He knows just where he's going"", ""And he's proud of where he's from"", '']","['One of the good ones', ""He's one of the good ones"", '', ""He's one of the good ones"", '']","['A love me like he should one', 'Like he wrote the book one', ""The kind you find when you don't even look one"", 'Anybody can be good once', ""But he's good all the time"", ""He's one of the good ones"", ""And he's all mine"", ""He's one of the good ones"", '', 'A love me like he should one', 'Like he wrote the book one', ""The kind you find when you don't even look one"", 'Anybody can be good once', ""But he's good all the time"", ""He's one of the good ones"", ""And he's all mine"", ""He's one of the good ones"", '', 'A love me like he should one', 'Like he wrote the book one', ""The kind you find when you don't even look"", 'Anybody can be good once', ""But he's good all the time"", ""He's one of the good ones"", ""And he's all mine"", ""He's one of the good ones"", ""And he's all mine""]","[""You'll know him when you see him"", 'By the way he looks at me', ""You'd say he hung the moon"", ""I'd say he hung the galaxy"", 'Nobody does it better', 'Oh, the way he pulls me in', ""I've known a couple bad ones"", 'But they all led me to him']",,,"['We should all find us one', ""They're out there, minus one"", 'Some of the good ones', 'Yeah, I got a good one', '']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['Water towers are made for hearts and names', 'Friday nights are made for football games', ""Fallin' leaves are made for fallin' in"", ""Front porch steps are made for goodnight kissin'"", 'And I was made for you, yeah I was made for you', '']",,"['Like a ship without a sea', 'Or a song without a melody', ""I don't know where I'd be or what I'd do"", ""'Cause I was made for you"", '', 'Like a ship without a sea', 'Or a song without a melody', ""I don't know where I'd be or what I'd do"", ""'Cause I was made for you"", '']","[""Summer jobs are made for spendin' cash"", ""Second dates are made for goin' fast"", ""Early curfews are made for sneakin' past"", '2 a.m. was made for pissed off dads', 'And I was made for you, yeah I was made for you', '']",,,,"['Smoky bars are made for ""How \'bout a dance?""', ""Open roads are made for holdin' hands and"", 'Laid back seats are made for young love', ""Two pink lines are made for growin' up"", 'And I was made for you, yeah I was made for you']","['Tiny shoes are made for tiny feet', 'My two arms are made for where you sleep', 'Sky was made for the moon and stars', 'You were made to steal my heart', 'And I was made for you, yeah I was made for you']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['Bartender looked at me like', '""Pony up, man, we\'re closin\' down""', 'I\u2005paid\u2005the tab, and\u2005I turned around', 'Got on that phone\u2005on the way home', 'And ended up down the rabbit hole\u205fagain', ""It's\u205ffunny\u205fhow you haven't\u205fchanged a bit"", ""But\u205fyou're twice as pretty"", 'Glad you finally got to see New York City', ""And I know it's not a race"", ""But it looks like you're gettin' over me"", ""Faster than I'm gettin' over you"", ""But hey, what you gon' do?"", '']",,"[""I'm sick of sittin' at the house, dyin' on my phone"", ""Wishin' I was somewhere I can be alone"", ""Try to let you go, somethin' always reminds me"", ""I bet breakin' up was easy in the '90s"", ""I'm tired of gettin' drunk, tired of bein' free"", ""Tired of seein' pictures I don't wanna see"", ""Girl, you're everywhere, everywhere but behind me"", ""I bet breakin' up was easy in the '90s"", ""I'm sick of sittin' at the house, dyin' on my phone"", ""Wishin' I was somewhere I can be alone"", ""Try to let you go, somethin' always reminds me"", ""I bet breakin' up was easy in the '90s"", ""I'm tired of gettin' drunk, tired of bein' free"", ""Tired of seein' pictures I don't wanna see"", ""Girl, you're everywhere, everywhere but behind me"", ""I bet breakin' up was easy in the '90s"", '', ""Baby, I'm sick of sittin' at the house, dyin' on my phone"", ""Wishin' I was somewhere I can be alone"", ""I try to let you go, somethin' always reminds me"", ""(I bet breakin' up was easy in the '90s)"", ""I'm tired of gettin' drunk, tired of bein' free"", ""Tired of seein' pictures I don't wanna see"", ""Girl, you're everywhere, everywhere but behind me"", ""I bet breakin' up was easy in the '90s"", '']","[""Back then, I could've convinced myself"", 'That maybe you called when I was out', ""But you didn't know what to say, so you didn't leave a message"", ""And that you're probably at home right now, sound asleep"", ""'Cause goin' out isn't really your thing"", ""And I wouldn't have a clue what you been up to lately"", 'Or who you been up to it with', ""But when I don't miss your calls, I miss you callin'"", ""And I go 'round and 'round again"", '']",,"[""Hearts breakin'"", ""I'm a product of my"", 'Oh, a product of my generation, oh, and I', 'My baby, my baby']","[""Modern love, it's the modern hearts breakin'"", ""I'm just a product of my generation, and I"", ""'Bout had enough, watchin' you gettin' on with your life""]",,,"['Yeah, man, oh man, oh man', '']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[""I ain't heard you laugh like that in a long time"", 'I wonder if you stopped his world like you did mine just now', ""I see you sippin' white wine instead of whiskey"", 'And does he want you to be just a little more city?', ""Well, I'm sorry if I'm overstepping boundaries"", ""I don't mean to be, but I've just got to tell you how I feel"", '']",,"[""If he ever singles you up, if he's ever stupid enough"", ""I'ma be the first one calling you baby (Baby)"", ""If he ain't holding you tight, if he ain't treating you right"", ""I'ma be the first one calling him crazy (Crazy)"", ""'Cause girl, it's just a matter of time until you find"", ""That the right guy's staring you back into your eyes, right now"", 'No rush, but if he ever singles you up', '', ""If he ever singles you up, if he's ever stupid enough"", ""I'ma be the first one calling you baby (Baby)"", ""If he ain't holding you tight, if he ain't treating you right"", ""I'ma be the first one calling him crazy (Crazy)"", ""'Cause girl, it's just a matter of time until you find"", ""That the right guy's staring you back into your eyes, right now"", 'No rush, but if he ever singles you up', 'If he ever singles you up', ""I'ma be the first to call baby"", ""If he ever singles you up, if he's ever stupid enough"", ""I'ma be the first one calling you baby (Baby)"", ""If he ain't holding you tight, if he ain't treating you right"", ""I'ma be the first one calling him crazy (Crazy)"", ""'Cause girl, it's just a matter of time until you find"", ""That the right guy's staring you back into your eyes, right now"", 'No rush, but if he ever singles you up', 'Oh, if he ever singles you up', 'If he ever singles you up']","[""He hasn't even looked your way since you walked in (Walked in)"", ""But I can't help it that I can't take my eyes off of you"", 'Your favorite song just came on and me and you were singing along (Singing along)', ""And he don't even know a single word"", '']",,,"[""Sorry if I'm overstepping boundaries"", ""I don't mean to be, but I've just got to tell you how I feel"", '']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[""There's a pack of Marlboro Reds in my jacket pocket"", 'Slung over the shotgun seat of my truck', 'Just waiting on the right time state of mind, hell, found it', ""Tonight I'm gonna burn 'em all"", 'Got a timecard saying fifty hours running', 'All my buddies at the bar said come on down', ""There's a couple brand new twenties in my wallet, boys, I got it"", ""Tonight I'm gonna burn 'em all"", '']",,"['Pour the gas, light the match, set the night on fire', 'Set the the blaze, let the flames get higher', 'Every cigarette, еvery dollar, every problеm', 'You got on you from a town this small', ""Tonight we're gonna burn 'em all"", '', 'Pour the gas, light the match, set the night on fire', 'Set the the blaze, let the flames get higher', 'Every cigarette, every dollar, every problem', 'You got on you from a town this small', ""Tonight we're gonna burn 'em all"", 'Pour the gas, light the match, set the night on fire', 'Set the the blaze, let the flames get higher', 'Every cigarette, every dollar, every problem', 'You got on you from a town this small', ""Tonight we're gonna burn 'em all"", ""Whoa, we're gonna burn 'em all"", ""We're gonna burn 'em all""]","['Got a worn out set of Goodyears on this Chevy', 'And a nowhere two lane that was paved for me and you', 'Girl, every midnight shooting star kiss waiting on our lips', ""Tonight we're gonna burn 'em all"", '']",,,"['Every chance, every moment', 'Catch a spark, keep it going, yeah', '']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['Sometimes I forget who we were back then', ""But Saturday nights stealin' cold beer and cigarettes"", ""At\u2005a\u2005house we didn't\u2005know wearin' our now-vintage clothes"", ""Lookin' at\u2005this photo"", '']","['Oh, I remember someone sayin\', ""Smile""', ""Who would have thought\u205fwe'd\u205fstill\u205fbe smilin' now"", '', ""Oh, I remember fallin' just like that"", ""And now it's kinda crazy lookin' back"", '', 'Oh, I remember someone sayin\', ""Smile""', ""Who would have thought we'd still be smilin' now"", '']","[""We've\u205fcome a long\u205fway since we were strangers in the basement"", 'At a party we hated, tryna make conversation', ""The night it was taken, I didn't have a clue"", ""That someday I'd be somethin' more"", 'Than just a boy in a Polaroid with you', '', ""We've come a long way since we were strangers in the basement"", 'At a party we hated, tryna make conversation', ""The night it was taken, I didn't have a clue"", ""That someday I'd be somethin' more"", 'Than just a boy in a Polaroid with you', '', ""We've come a long way since we were strangers in the basement"", 'At a party we hated, tryna make conversation', ""The night it was taken, I didn't have a clue"", ""That someday I'd be somethin' more"", 'Than just a boy in a Polaroid with you']","['Too many times these moments, they come and go', 'How lucky was I that our moment was set in stone?', 'Even though the colors faded and everybody changes', ""I'm holdin' on to this photo""]",,"['Ooh, mm, you', 'Ooh, tryna make conversation', ""The night it was taken, I didn't have a clue"", ""That someday I'd be somethin' more"", 'Than just a boy in a Polaroid with you']",,,,,"['Ooh, mm', 'Ooh, mm', '', 'Ooh, mm', 'Ooh, mm', '']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['Girl, the way you broke my heart', 'It shattered like a rock through a window', 'I thought we had it so good', ""Never really saw this comin'"", '']",,"['Oh, why you got to be so cold?', 'Why\u205fyou\u205fgot\u205fto go and\u205fcut me like\u205fa knife', 'And put our love on ice?', 'Oh, girl you know you left this hole', 'Right here in the middle of my soul', 'Oh-oh, oh, why you got to be so cold?', '', 'Oh, why you got to be so cold?', 'Why you got to go and cut me like a knife', 'And put our love on ice?', 'Oh, girl you know you left this hole', 'Right hеre in the middle of my soul', 'Oh-oh, oh, why you got to bе so cold?', 'Oh, why you got to be so cold?', 'Why you got to go and cut me like a knife', 'And put our love on ice?', 'Oh, girl you know you left this hole', 'Right here in the middle of my soul', 'Oh-oh, oh, why you got to be so cold?', '']","['What am I supposed to say', 'If anybody ask me about you?', ""I guess I'll tell 'em I'm without you"", 'How am I supposed to live', 'When I built my life around you?', 'Try to put yourself in my shoes', '']",,"['Why you got to be so cold?', 'Why you got to be so cold?', 'You got to be so cold']","[""I can only feel my love hangin' on"", ""I don't feel like it's over"", ""I'm still on fire"", 'Why you gotta be so-?', '']",,,,,[''],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['Neither of us is at fault', ""But lately if I'm being honest"", 'Nothing lights up when you call', 'And I hate it', ""I've wanted love for so long"", 'And if we tried we could probably make it', 'But holding you would always feel wrong', 'And I hate it', '']","[""My heart doesn't race when you look at me"", ""My voice doesn't shake cause I'm nervous"", ""I lay awake but I'm only thinking"", ""Of what we're missing"", '', 'Oh, I want better than good enough', 'Want better than perfect on paper', ""I hate feeling like I'm giving up"", ""And I don't want to but"", '']","[""I've been holding on"", ""Cause I'm scared to say goodbye"", ""But I've been fighting this"", 'For a long long time', ""Nothing's really wrong"", ""But that doesn't mean it's right"", 'I wish I could ignore it but I realize', ""I don't miss you"", ""When I'm not with you, love"", ""I don't miss you"", ""When I'm not with you"", ""I've been holding on"", ""Cause I'm scared to say goodbye"", ""But I've been fighting this"", 'For a long long time', ""Nothing's really wrong"", ""But that doesn't mean it's right"", 'I wish I could ignore it but I realize', ""I don't miss you"", ""When I'm not with you, love"", ""I don't miss you"", ""When I'm not with you"", '']","[""Shouldn't I love you by now"", 'Should I be hesitating', ""I'm hearing these whispering doubts"", 'And I hate it, I hate it', '']",,"[""I've been holding on"", ""Cause I'm scared to say goodbye"", ""But I've been fighting this"", 'For a long long time', ""Nothing's really wrong"", ""But that doesn't mean it's right"", 'I wish I could ignore it but I realize', ""I don't miss you"", ""When I'm not with you, love"", ""I don't miss you"", ""When I'm not with you""]","['Darling if you ask yourself', 'If you really love me could you tell me', ""That you weren't feeling this as well"", 'Could you tell me could you tell me']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['Hometown hero at the bar', 'Burned out high life super star', 'You know', 'Kept a buzz to fill the hole', 'Loved the lights and stole the show', '']","['Someone I used to know', 'Would stay another round', 'Someone I used to know', 'Ran himself in the ground', '', 'Someone I used to know', 'Would stay another round', 'Someone I used to know', 'Ran himself in the ground', '']","['It’s been a long time comin’', 'Couldn’t keep on runnin’', 'Had to hit rock bottom to know', 'When you keep on losin’', 'With the path you’re choosin’', 'And it’s time to let go', 'Of someone that I used to know', '', 'It’s been a long time comin’', 'Couldn’t keep on runnin’', 'Had to hit rock bottom to know', 'When you keep on losin’', 'With the path you’re choosin’', 'And it’s time to let go', 'Of someone that I used to know', '', 'It’s been a long time comin’', 'Couldn’t keep on runnin’', 'Had to hit rock bottom to know', 'When you keep on losin’', 'With the path you’re choosin’', 'And it’s time to let go', 'Of someone that I used to', 'Someone that I used to know', 'Know', 'Know, ooh']","['Rides the high that tears him down', 'Hates himself and loves the crowd', 'The king of fools, a heavy crown', 'He didn’t know he almost drowned', '']",,"['Know, know', 'Know, know', 'Know']",,,,,"['Know, know', 'Know, know', 'Someone that I used to know', 'Know, know', 'Know, know', '']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[""Life was just breathin' in and out"", 'Like a movie with the sound turned down', 'It felt nothin’ like I feel right now', 'You said ""hello"" and set the room on fire', 'Like technicolor in a jet black night', ""Suddenly the sky's never been so clear"", ""Hey what you doin' in a thousand years?"", '']",,"[""If life’s just wakin' up to"", ""Another day of lookin' at you"", 'If all we get is just to be together', 'It makes me wanna live forever', 'You make me wanna live forever', '', ""If life's just wakin' up to"", ""Another day of lookin' at you"", 'If all we get is just to be together', 'It makes me wanna live forever', 'You make me wanna live forever', ""If life’s just wakin' up to"", ""Another day of lookin' at you"", 'If all we get is just to be together', 'It makes me wanna live forever', 'You make me wanna live forever', 'You make me wanna live forever', 'You make me wanna live forever']","[""You tell yourself that you'll never grow old"", ""'Til you find the hand you were meant to hold"", 'Now I never wanna see you one last time', 'I never wanna know a kiss goodbye', '']",,,,"['If life’s just more of the same', ""Makin’ you smile, sayin' your name"", 'If all we get is just to be together', 'You make me wanna live forever', '']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
