,track,artist,track_id,release_date,dance,energy,loud,speech,acoust,live,valence,tempo,sim_score
0,WITHOUT YOU,The Kid LAROI,27OeeYzk6klgBh83TSvGMA,2020-11-06,0.662,0.413,-7.357,0.0299,0.213,0.134,0.467,93.005,
1,Your Power,Billie Eilish,5qNh5WtzMbfpSj2jLlBkoD,2021-04-29,0.634,0.285,-14.007,0.0807,0.937,0.232,0.203,129.65,
2,my ex's best friend (with blackbear),Machine Gun Kelly,7kDUspsoYfLkWnZR7qwHZl,2020-09-25,0.731,0.675,-5.134,0.0434,0.00473,0.141,0.298,124.939,
3,Mood (feat. iann dior),24kGoldn,4jPy3l0RUwlUI9T5XHBW2m,2021-03-26,0.701,0.716,-3.671,0.0361,0.174,0.324,0.732,91.007,
4,Therefore I Am,Billie Eilish,54bFM56PmE4YLRnqpW6Tha,2020-11-12,0.889,0.34,-7.773,0.0697,0.218,0.055,0.716,94.009,
5,DRUGS,Tai Verdes,0ooz46SAYMJsdOPnwW4nKK,2020-10-30,0.868,0.449,-7.713,0.0694,0.107,0.631,0.746,106.852,0.319606806828602
6,Confetti (feat. Saweetie),Little Mix,40JjCZcdzT9ldZk5DhFqdZ,2021-04-30,0.733,0.643,-6.45,0.053,0.178,0.0609,0.485,107.088,-0.29301830741643964
7,Washing Machine Heart,Mitski,4Ys8jQvZOISzmp34BsImRf,2018-08-17,0.617,0.821,-4.085,0.026,0.00999,0.426,0.581,106.0,-2.582140390372092
8,Sometimes (Backwood),gigi,5ysFFsqJFcsX8Rez67j2tv,2021-02-15,0.41,0.174,-11.405,0.0328,0.767,0.114,0.0694,105.292,-3.0816434593576805
9,Shot For Me - Spotify Singles,The Kid LAROI,4rVpFdm9XDYC27qxJvjLRS,2021-03-24,0.484,0.383,-8.409,0.0531,0.801,0.178,0.235,102.565,-3.0868621698458494
10,House of Memories,Panic! At The Disco,2DgdHcjWmO3qd50RzuBLgZ,2016-01-15,0.506,0.817,-5.051,0.0335,0.00272,0.0486,0.506,109.952,-3.2978684292884006
11,You should be sad,Halsey,7lidXGPXPYLNThITAOTlkK,2020-01-17,0.591,0.585,-6.35,0.0277,0.143,0.109,0.324,110.94,-3.597606374986505
12,When I'm Older,Ashe,09Qrzf6qOsYDL1yz9tFUS0,2021-05-07,0.39,0.312,-11.715,0.0339,0.752,0.16,0.351,101.706,-5.370093167867676
13,Wow.,Post Malone,7xQAfvXzm3AkraOtGPWIZg,2019-09-06,0.829,0.539,-7.359,0.208,0.136,0.103,0.388,99.96,-5.57232196086863
14,Coño,Jason Derulo,5DV4ZSCqbFv74ui3ZhimXo,2020-07-03,0.899,0.528,-5.442,0.181,0.000554,0.105,0.456,100.037,-5.841990255829312
15,Gimme More,Britney Spears,6ic8OlLUNEATToEFU3xmaH,2007-10-25,0.788,0.844,-3.131,0.0334,0.25,0.0723,0.382,113.324,-7.142064297910935
16,lovely (with Khalid),Billie Eilish,0u2P5u6lvoDfwTYjAADbn4,2018-04-19,0.351,0.296,-10.109,0.0333,0.934,0.095,0.12,115.284,-8.155871670972465
17,cellophane,FKA twigs,7x8pIrhMu9FCmqqHNyuH0P,2019-11-08,0.431,0.284,-11.858,0.0432,0.871,0.0899,0.229,98.317,-8.277149402877834
18,One Of Them Girls,Lee Brice,14GwnOeC9qYEKEA6uOZepa,2020-04-10,0.643,0.79,-6.079,0.0462,0.294,0.107,0.8,95.987,-9.652186353857806
19,Tommy Lee (feat. SAINt JHN & Post Malone) - Remix,Tyla Yaweh,4Rq2BMG5VWMhb2whSx8bf4,2020-08-28,0.504,0.597,-6.237,0.1,0.206,0.0949,0.557,117.974,-10.535176449769416
20,Watermelon Sugar,Harry Styles,6UelLqGlWMcVH1E5c4H7lY,2019-12-13,0.548,0.816,-4.209,0.0465,0.122,0.335,0.557,95.39,-10.642467142977644
21,Am I High Rn (feat. blackbear),Quinn XCII,1db6ixe9nX6cqt2V1DYZnW,2020-07-10,0.712,0.497,-7.943,0.0639,0.513,0.303,0.457,93.953,-11.576322481366198
22,"Female Energy, Part 2",WILLOW,0W95eMaAxNVYTquOsXXkC5,2019-07-19,0.539,0.39,-8.341,0.0293,0.0143,0.174,0.361,119.791,-12.295806010081316
23,WITHOUT YOU,The Kid LAROI,27OeeYzk6klgBh83TSvGMA,2020-11-06,0.662,0.413,-7.357,0.0299,0.213,0.134,0.467,93.005,-12.51975601241821
24,I Don't Know Why,NOTD,0ZXdzaT1k688dkpNeEgQiV,2020-05-08,0.499,0.898,-4.181,0.124,0.124,0.0832,0.618,120.04,-12.951111529240846
25,BOYSHIT,Madison Beer,3YmgsYX80v0EtBZekgcB6w,2020-12-11,0.638,0.699,-6.542,0.0892,0.0203,0.0879,0.57,121.122,-13.642682250793946
26,Infinity,Jaymes Young,1SOClUWhOi8vHZYMz3GluK,2017-06-23,0.671,0.673,-6.941,0.0444,0.148,0.304,0.494,121.963,-14.457156333728229
27,Cold Feet,Loud Luxury,08zt4rqVjqahvXaWAuEBbP,2020-03-27,0.715,0.66,-5.925,0.0358,0.0126,0.0936,0.244,121.986,-14.55908534246519
28,I'm Not Alright,Loud Luxury,7fcEMgPlojD0LzPHwMsoic,2019-12-20,0.875,0.858,-3.886,0.0496,0.081,0.381,0.7,121.978,-14.902763951757324
29,Krabby Step (with Tyga & Lil Mosey),Tainy,54VtNjzhAyLvPxuJlw0Z3q,2021-03-05,0.754,0.567,-7.181,0.0583,0.0267,0.358,0.513,123.073,-15.559668209143435
30,ROCKSTAR (feat. Roddy Ricch) - BLM REMIX,DaBaby,4Aykm3xrOFSHrAnv80KUhh,2020-06-12,0.747,0.689,-7.246,0.242,0.197,0.0884,0.75,89.901,-15.629628091611515
31,Got It On Me,Pop Smoke,25zlnOAzbVoOzIeXSvQFf1,2020-07-03,0.688,0.647,-7.258,0.19,0.00815,0.095,0.195,88.834,-16.697495215764793
32,VALENTINO - Imanbek Remix,24kGoldn,660BgHpKo1jhR9MMSFn7CF,2020-06-12,0.791,0.795,-4.854,0.0415,0.0161,0.362,0.963,124.007,-16.71024574838295
33,High Enough,K.Flay,1qwno7xb5mJe71xtMS6jl2,2017-04-07,0.606,0.62,-5.005,0.0298,0.0301,0.167,0.543,88.984,-16.73046365536209
34,Goosebumps - Remix,Travis Scott,5uEYRdEIh9Bo4fpjDd4Na9,2021-01-15,0.841,0.593,-7.846,0.0379,0.418,0.124,0.808,124.917,-17.400761750952434
35,Candy,Doja Cat,1VJwtWR6z7SpZRwipI12be,2018-03-30,0.689,0.516,-5.857,0.0444,0.513,0.163,0.209,124.876,-17.438711363468858
36,Rue,girl in red,6lhuBaygBqxBjdcXrM685k,2020-08-26,0.579,0.77,-9.163,0.0586,0.12,0.172,0.275,125.011,-17.560802176557814
37,Ruthless (Nice Guys Always Finish Last) (feat. Sage the Gemini & Derek King) - Remix,MarMar Oso,5NLfXbKEaDKmb3kq0KUCms,2019-08-14,0.625,0.547,-6.465,0.0688,0.395,0.0861,0.844,86.031,-19.52565790914673
38,Ruthless (Nice Guys Always Finish Last) (feat. G-Eazy) - Remix,MarMar Oso,5HYLE4qVG734DZI9CkrGHw,2020-09-17,0.689,0.446,-10.05,0.0734,0.377,0.101,0.887,86.073,-19.600916013064044
39,Young & Alive,Bazzi,5RsKelNxucrDxgMbZ3vd3W,2020-03-05,0.716,0.563,-5.486,0.0425,0.326,0.119,0.495,86.005,-19.624676547459202
