phrase,idf,tfidf,length,counts,Song_Part
you ve got,6.131869158910372,521.2088785073817,3,85.0,Verse 1
you ve been,6.131869158910372,515.0770093484713,3,84.0,Verse 1
you say that,6.131869158910372,502.8132710306505,3,82.0,Verse 1
you ll be,6.131869158910372,490.5495327128298,3,80.0,Verse 1
you know that,6.131869158910372,478.285794395009,3,78.0,Verse 1
you say that you,6.131869158910372,508.9451401895609,4,83.0,Verse 1
in the middle of,5.726404050802207,137.43369721925296,4,24.0,Verse 1
you want to,6.131869158910372,2072.571775711706,3,338.0,Chorus
you ve got,6.131869158910372,2066.4399065527955,3,337.0,Chorus
you tell me,6.131869158910372,2048.0442990760644,3,334.0,Chorus
you should see,6.131869158910372,2041.9124299171538,3,333.0,Chorus
you re not,6.131869158910372,2023.5168224404229,3,330.0,Chorus
you in my arms,6.131869158910372,1894.747570103305,4,309.0,Chorus
top of the world,6.131869158910372,1551.362897204324,4,253.0,Chorus
the way you re,6.131869158910372,1459.3848598206685,4,238.0,Chorus
the rest of the,5.726404050802207,1317.0729316845077,4,230.0,Chorus
the middle of the,5.844187086458591,1303.2537202802657,4,223.0,Chorus
ooh ooh ooh ooh ooh,5.977718479083114,1141.7442295048747,5,191.0,Chorus
in the middle of the,6.131869158910372,613.1869158910372,5,100.0,Chorus
you want me,6.131869158910372,508.9451401895609,3,83.0,Verse 2
you ve been,6.131869158910372,502.8132710306505,3,82.0,Verse 2
you re still,6.131869158910372,484.4176635539194,3,79.0,Verse 2
you re the,5.977718479083114,478.21747832664914,3,80.0,Verse 2
you tell me,5.844187086458591,473.3791540031459,3,81.0,Verse 2
you want to,6.131869158910372,2072.571775711706,3,338.0,Chorus
you ve got,6.131869158910372,2066.4399065527955,3,337.0,Chorus
you tell me,6.131869158910372,2048.0442990760644,3,334.0,Chorus
you should see,6.131869158910372,2041.9124299171538,3,333.0,Chorus
you re not,6.131869158910372,2023.5168224404229,3,330.0,Chorus
you in my arms,6.131869158910372,1894.747570103305,4,309.0,Chorus
top of the world,6.131869158910372,1551.362897204324,4,253.0,Chorus
the way you re,6.131869158910372,1459.3848598206685,4,238.0,Chorus
the rest of the,5.726404050802207,1317.0729316845077,4,230.0,Chorus
the middle of the,5.844187086458591,1303.2537202802657,4,223.0,Chorus
ooh ooh ooh ooh ooh,5.977718479083114,1141.7442295048747,5,191.0,Chorus
in the middle of the,6.131869158910372,613.1869158910372,5,100.0,Chorus
you re the,5.977718479083114,71.73262174899736,3,12.0,Bridge
you re gonna,5.977718479083114,65.75490326991425,3,11.0,Bridge
you and me,6.131869158910372,61.31869158910372,3,10.0,Bridge
when you re,6.131869158910372,55.186822430193345,3,9.0,Bridge
up in the,5.977718479083114,47.82174783266491,3,8.0,Bridge
oh oh oh oh,5.844187086458591,35.06512251875155,4,6.0,Bridge
look in your eyes,5.35867927067689,16.07603781203067,4,3.0,Bridge
oh oh oh oh oh,5.977718479083114,41.844029353581796,5,7.0,Bridge
you want to,6.131869158910372,2072.571775711706,3,338.0,Chorus
you ve got,6.131869158910372,2066.4399065527955,3,337.0,Chorus
you tell me,6.131869158910372,2048.0442990760644,3,334.0,Chorus
you should see,6.131869158910372,2041.9124299171538,3,333.0,Chorus
you re not,6.131869158910372,2023.5168224404229,3,330.0,Chorus
you in my arms,6.131869158910372,1894.747570103305,4,309.0,Chorus
top of the world,6.131869158910372,1551.362897204324,4,253.0,Chorus
the way you re,6.131869158910372,1459.3848598206685,4,238.0,Chorus
the rest of the,5.726404050802207,1317.0729316845077,4,230.0,Chorus
the middle of the,5.844187086458591,1303.2537202802657,4,223.0,Chorus
ooh ooh ooh ooh ooh,5.977718479083114,1141.7442295048747,5,191.0,Chorus
in the middle of the,6.131869158910372,613.1869158910372,5,100.0,Chorus
