phrase,idf,tfidf,length,counts,Song_Part
you want me,6.180846782073698,964.2120980034969,3,156.0,Verse 1
you wanna be,6.180846782073698,958.0312512214232,3,155.0,Verse 1
you ve got,6.180846782073698,951.8504044393495,3,154.0,Verse 1
you you re,6.02669610224644,946.1912880526911,3,157.0,Verse 1
you ve been,6.180846782073698,945.6695576572758,3,153.0,Verse 1
tell me why you,6.180846782073698,568.6379039507802,4,92.0,Verse 1
don know what to,6.02669610224644,132.5873142494217,4,22.0,Verse 1
don know how to,6.180846782073698,123.61693564147396,4,20.0,Verse 1
at the end of,5.670021158307708,56.70021158307708,4,10.0,Verse 1
you ve been,6.180846782073698,105.07439529525287,3,17.0,Pre-Chorus
you re so,5.893164709621917,94.29063535395068,3,16.0,Pre-Chorus
you re not,6.180846782073698,92.71270173110547,3,15.0,Pre-Chorus
you know what,6.180846782073698,86.53185494903177,3,14.0,Pre-Chorus
you got me,5.893164709621917,76.61114122508492,3,13.0,Pre-Chorus
the middle of the,5.893164709621917,58.93164709621917,4,10.0,Pre-Chorus
oh oh oh oh,6.180846782073698,43.265927474515884,4,7.0,Pre-Chorus
you ve got,6.180846782073698,1038.3822593883813,3,168.0,Chorus
you want me,6.02669610224644,1024.5383373818947,3,170.0,Chorus
your love is,5.893164709621917,1007.7311653453479,3,171.0,Chorus
you told me,6.02669610224644,1000.431552972909,3,166.0,Chorus
you want it,5.893164709621917,995.944835926104,3,169.0,Chorus
you don have to,6.02669610224644,843.7374543145016,4,140.0,Chorus
you gotta be so,5.775381673965534,837.4303427250024,4,145.0,Chorus
why you gotta be,6.180846782073698,778.786694541286,4,126.0,Chorus
when you re with,6.02669610224644,741.2836205763122,4,123.0,Chorus
yeah yeah yeah yeah,4.928083813578331,665.2913148330747,4,135.0,Chorus
why you gotta be so,6.180846782073698,784.9675413233597,5,127.0,Chorus
oh oh oh oh oh,6.180846782073698,543.9145168224854,5,88.0,Chorus
no no no no no,6.180846782073698,513.010282912117,5,83.0,Chorus
la la la la la,6.180846782073698,352.3082665782008,5,57.0,Chorus
you want me,6.180846782073698,815.8717752337282,3,132.0,Verse 2
your best friend,6.02669610224644,807.5772777010229,3,134.0,Verse 2
you wanted me,6.02669610224644,801.5505815987765,3,133.0,Verse 2
you ve been,6.180846782073698,797.329234887507,3,129.0,Verse 2
you re so,6.180846782073698,772.6058477592122,3,125.0,Verse 2
don know what to,6.02669610224644,174.77418696514675,4,29.0,Verse 2
you ve been,6.180846782073698,105.07439529525287,3,17.0,Pre-Chorus
you re so,5.893164709621917,94.29063535395068,3,16.0,Pre-Chorus
you re not,6.180846782073698,92.71270173110547,3,15.0,Pre-Chorus
you know what,6.180846782073698,86.53185494903177,3,14.0,Pre-Chorus
you got me,5.893164709621917,76.61114122508492,3,13.0,Pre-Chorus
the middle of the,5.893164709621917,58.93164709621917,4,10.0,Pre-Chorus
oh oh oh oh,6.180846782073698,43.265927474515884,4,7.0,Pre-Chorus
you ve got,6.180846782073698,1038.3822593883813,3,168.0,Chorus
you want me,6.02669610224644,1024.5383373818947,3,170.0,Chorus
your love is,5.893164709621917,1007.7311653453479,3,171.0,Chorus
you told me,6.02669610224644,1000.431552972909,3,166.0,Chorus
you want it,5.893164709621917,995.944835926104,3,169.0,Chorus
you don have to,6.02669610224644,843.7374543145016,4,140.0,Chorus
you gotta be so,5.775381673965534,837.4303427250024,4,145.0,Chorus
why you gotta be,6.180846782073698,778.786694541286,4,126.0,Chorus
when you re with,6.02669610224644,741.2836205763122,4,123.0,Chorus
yeah yeah yeah yeah,4.928083813578331,665.2913148330747,4,135.0,Chorus
why you gotta be so,6.180846782073698,784.9675413233597,5,127.0,Chorus
oh oh oh oh oh,6.180846782073698,543.9145168224854,5,88.0,Chorus
no no no no no,6.180846782073698,513.010282912117,5,83.0,Chorus
la la la la la,6.180846782073698,352.3082665782008,5,57.0,Chorus
you want me,6.02669610224644,102.45383373818947,3,17.0,Bridge
you re gonna,6.180846782073698,98.89354851317917,3,16.0,Bridge
yeah yeah yeah,5.893164709621917,82.50430593470685,3,14.0,Bridge
that you re,6.180846782073698,80.35100816695808,3,13.0,Bridge
tell me what,6.180846782073698,74.17016138488438,3,12.0,Bridge
ooh ooh ooh ooh,6.02669610224644,66.29365712471085,4,11.0,Bridge
oh oh oh oh,5.893164709621917,47.14531767697534,4,8.0,Bridge
la la la la,6.180846782073698,30.90423391036849,4,5.0,Bridge
oh oh oh oh oh,6.180846782073698,55.627621038663285,5,9.0,Bridge
you ve got,6.180846782073698,1038.3822593883813,3,168.0,Chorus
you want me,6.02669610224644,1024.5383373818947,3,170.0,Chorus
your love is,5.893164709621917,1007.7311653453479,3,171.0,Chorus
you told me,6.02669610224644,1000.431552972909,3,166.0,Chorus
you want it,5.893164709621917,995.944835926104,3,169.0,Chorus
you don have to,6.02669610224644,843.7374543145016,4,140.0,Chorus
you gotta be so,5.775381673965534,837.4303427250024,4,145.0,Chorus
why you gotta be,6.180846782073698,778.786694541286,4,126.0,Chorus
when you re with,6.02669610224644,741.2836205763122,4,123.0,Chorus
yeah yeah yeah yeah,4.928083813578331,665.2913148330747,4,135.0,Chorus
why you gotta be so,6.180846782073698,784.9675413233597,5,127.0,Chorus
oh oh oh oh oh,6.180846782073698,543.9145168224854,5,88.0,Chorus
no no no no no,6.180846782073698,513.010282912117,5,83.0,Chorus
la la la la la,6.180846782073698,352.3082665782008,5,57.0,Chorus
